"smiles","Hof"
"C","-21.3972164"
"N","-11.12391032"
"O","-51.52580757"
"C#C","57.60984282"
"C#N","32.19229107"
"C=O","-27.4457826"
"CC","-24.82896313"
"CO","-48.27144058"
"CC#C","44.50315462"
"CC#N","15.84075125"
"CC=O","-42.40927141"
"NC=O","-48.58236181"
"CCC","-29.92737509"
"CCO","-56.71698821"
"COC","-48.95657822"
"C1CC1","10.62153398"
"C1CO1","-14.59930538"
"CC(C)=O","-55.02461966"
"CC(N)=O","-59.86613491"
"NC(N)=O","-59.68945668"
"CC(C)C","-35.91308548"
"CC(C)O","-65.62814789"
"C#CC#C","110.6927048"
"C#CC#N","88.73900549"
"N#CC#N","71.34228017"
"O=CC#C","32.09917221"
"O=CC#N","10.6537556"
"O=CC=O","-52.32141359"
"CC#CC","32.89809666"
"CCC#C","39.7310476"
"CCC#N","10.96636018"
"NCC#N","28.11340533"
"OCC#C","17.17712361"
"OCC#N","-9.713820446"
"CCC=O","-46.95924006"
"CNC=O","-51.05339149"
"COC=O","-85.29753802"
"OCC=O","-71.97300129"
"CCCC","-35.01449188"
"CCCO","-61.70433098"
"CCOC","-57.36824034"
"OCCO","-89.58832067"
"CC1CC1","3.387707197"
"CC1CO1","-25.04096074"
"CN1CC1","23.52044255"
"OC1CC1","-22.00946234"
"C1CCC1","3.869634493"
"C1COC1","-21.76661616"
"CC(C)=NO","-19.49646351"
"N1C=CC=C1","24.0844217"
"N1C=CN=C1","26.63496837"
"O1C=CC=C1","-9.263013755"
"O1C=CN=C1","-7.294168393"
"CC(C)(C)C","-41.87620553"
"CC(C)(C)O","-73.71915265"
"CC(=O)C#C","18.21750978"
"CC(=O)C#N","-5.042036798"
"NC(=N)C#N","45.35643485"
"NC(=O)C#C","13.637666"
"CC(=O)C=O","-67.35141841"
"NC(=N)C=O","-21.57455423"
"NC(=O)C=O","-68.77426189"
"CC(C)C#C","34.07164215"
"CC(C)C#N","5.182080338"
"CC(N)C#N","18.29988699"
"CC(O)C#C","6.427361091"
"CC(O)C#N","-20.89028942"
"CC(C)C=O","-52.81129093"
"CC(O)C=O","-81.13453727"
"CN(C)C=O","-54.31445563"
"CC(=O)CO","-89.65548877"
"CCC(C)=O","-60.65264964"
"CCC(N)=O","-65.40819608"
"CNC(C)=O","-62.21480024"
"CNC(N)=O","-61.09560274"
"COC(C)=N","-45.5600706"
"COC(C)=O","-102.1843434"
"COC(N)=O","-102.7958171"
"NC(=O)CO","-86.97442012"
"[NH3+]CC([O-])=O","-95.14710385"
"CC(C)CO","-67.92347491"
"CC(O)CO","-99.71245621"
"CCC(C)C","-40.04638783"
"CCC(C)O","-70.81064612"
"COC(C)C","-64.46715258"
"CC1(C)CC1","-4.249608199"
"CC1(C)CO1","-34.86702927"
"CC1(O)CC1","-33.45701542"
"N=C1CCO1","-13.06963852"
"O=C1CCC1","-24.01375226"
"O=C1CCN1","-28.2541134"
"O=C1CCO1","-70.03151148"
"O=C1CNC1","-6.069142541"
"O=C1COC1","-46.21564343"
"CC1CCC1","-3.654729192"
"CC1CCO1","-32.29173028"
"CC1COC1","-28.94773215"
"OC1CCC1","-33.68480137"
"OC1COC1","-57.11912119"
"CC1CC1C","-2.331311657"
"CC1CC1O","-30.69158105"
"CC1CN1C","17.36655961"
"CC1OC1C","-33.98161336"
"OC1CC1O","-58.76194106"
"C1C2CC1C2","50.18106603"
"C1C2CC1O2","29.54920364"
"C#CCC#C","113.236731"
"C#CCC#N","86.06654525"
"N#CCC#N","61.38255211"
"O=CCC#C","24.01695258"
"O=CCC#N","-2.493720718"
"N=CNC=O","-22.7950602"
"N=COC=O","-61.43365576"
"O=CNC=O","-75.98936612"
"CC#CC#C","96.83802527"
"CC#CC#N","73.0639209"
"CC#CC=O","17.7500152"
"CC#CCO","4.911925649"
"CCC#CC","28.15171753"
"COC=NC","-32.04728102"
"CCCC#C","34.42618502"
"CCCC#N","5.566116153"
"CNCC#N","26.65580349"
"COCC#C","16.59552503"
"COCC#N","-10.26969113"
"OCCC#C","7.758308741"
"OCCC#N","-20.58155475"
"CCCC=O","-51.99929364"
"CCNC=O","-57.88121963"
"CCOC=O","-93.98969688"
"COCC=O","-72.05259227"
"OCCC=O","-78.05785819"
"CCCCC","-40.04325028"
"CCCCO","-66.63206036"
"CCCOC","-62.29220466"
"CCOCC","-65.71777902"
"COCCO","-90.91916559"
"OCCCO","-92.64293419"
"C#CC1CC1","71.98061875"
"C#CC1CN1","87.62415114"
"C#CC1CO1","47.66715812"
"N#CC1CC1","43.60937979"
"N#CC1CN1","60.84302125"
"N#CC1CO1","22.06449107"
"O=CC1CC1","-17.29814559"
"O=CC1CN1","-2.289025313"
"O=CC1CO1","-40.88683275"
"O=CN1CC1","-7.37624483"
"CCC1CC1","-1.736432651"
"CCC1CO1","-30.17325821"
"CCN1CC1","16.55644484"
"COC1CC1","-23.4218835"
"OCC1CC1","-28.13698988"
"OCC1CN1","-13.21195587"
"OCC1CO1","-57.28039113"
"C1CC=CC1","8.365715481"
"C1CN=CO1","-21.89555964"
"C1OCC=C1","-16.04187158"
"C1CCCC1","-19.44161319"
"C1CCOC1","-45.43617178"
"C1COCO1","-73.29694361"
"C1C2CCC12","37.2788432"
"C1C2COC12","14.79520027"
"C1CC2OC12","9.168950097"
"N1C=CC=N1","36.95373458"
"N1C=CN=N1","54.15976563"
"N1C=NC=N1","38.14760571"
"N1C=NN=C1","44.01168199"
"N1N=CC=N1","50.45871459"
"O1C=CC=N1","14.73957268"
"O1C=CN=N1","28.71141976"
"O1C=NC=N1","15.1867075"
"O1C=NN=C1","9.573007517"
"O1C=NN=N1","42.86775463"
"O1N=CC=N1","39.55666645"
"O1N=CN=N1","53.16330299"
"O1N=NN=N1","78.92417105"
"CC(=NO)C#C","51.45525625"
"CC(CO)=NO","-52.45125474"
"CCC(C)=NO","-23.88014215"
"ON=C1CCC1","14.50009409"
"ON=C1CNC1","32.52941759"
"ON=C1COC1","-7.849889318"
"FC(F)(F)F","-236.4423765"
"N=C1NC=CO1","-3.71001085"
"N=C1OC=CO1","-38.58417692"
"O=C1NC=CN1","-27.69530647"
"O=C1NC=CO1","-63.20200211"
"O=C1OC=CO1","-97.87662016"
"CC1=CC=CN1","14.82562176"
"CC1=CC=CO1","-20.3516314"
"CC1=CN=CO1","-18.82078767"
"CC1=NC=CO1","-19.97038507"
"NC1=CC=CN1","26.73045254"
"NC1=CC=CO1","-9.581965301"
"NC1=CN=CO1","-7.55036899"
"NC1=NC=CO1","-12.42674531"
"OC1=CC=CN1","-13.65512947"
